Ключ;Диалог
dialogues_1.yellow.replica_1;- О, какие люди! Тоже пришёл потренироваться стрелять?
dialogues_1.artur.replica_2;- Да, уже лет сто этого не делал.
dialogues_1.yellow.replica_3;- Правильно, перед таким длительным путешествием стоит вспомнить как держать оружие, даже если твоя миссия заключается не в этом. Кто знает, что может пригодиться там…
dialogues_1.artur.replica_4;- Надеюсь этот навык окажется для меня бесполезен.
dialogues_1.yellow.replica_5;- Ты сначала отработай его, а потом уже и не важно будет, ты будешь готов к любому раскладу.
dialogues_1.artur.replica_6;- Согласен. Что ж, бывай. 
dialogues_1.yellow.replica_7;- Удачи на тренировке.
dialogues_1.artur.replica_8;- Тебе тоже. 
dialogues_2.artur.replica_1;- Ты не видел мой скафандр? 
dialogues_2.yellow.replica_2;- Увы, нет. После этого завала ничего не найдёшь.
dialogues_2.artur.replica_3;- Может одолжишь мне свой?
dialogues_2.yellow.replica_4;- Могу, но тебе придётся кое-что для меня сделать.
dialogues_2.artur.replica_4.choice_1;- Хорошо, что ты хочешь?
dialogues_2.artur.replica_4.choice_2;- Нет, спасибо, я лучше поищу свой. 
dialogues_2.yellow.replica_5;- Как знаешь. 
dialogues_2.yellow.replica_6;- У меня разболелась нога, а через полчаса мне нужно быть на совещании. Дома остался отчёт, который мне необходимо предоставить. Не принесёшь его мне?
dialogues_2.artur.replica_7;- Да, конечно, я мигом. 
ui.inventory.hint.use;Использовать
ui.inventory.hint.remove;Выбросить
ui.items.item_slot.pistol.title;Пистолет
ui.items.item_slot.pistol.description;Lorem Ipsum
ui.items.item_slot.pistol_ammo.title;Патроны 9мм
ui.items.item_slot.pistol_ammo.description;Lorem Ipsum
ui.items.item_slot.cancel.title;Закрыть...
ui.items.item_slot.cancel.description;...и продолжить задание
